hearing_id,matter_id,judge_id,hearing_date,stage,sub_stage,next_hearing_date,next_hearing_purpose,order_text,order_pdf,other,start_time,end_time
7606,2225,17,22/10/19,NULL,NULL,NULL,NULL,Disposed,543,{},NULL,NULL
7607,2225,17,16/10/19,NULL,NULL,NULL,NULL,-,544,{},NULL,NULL
7608,2225,15,28/11/17,NULL,NULL,NULL,NULL,-,545,{},NULL,NULL
7796,2255,17,29/11/18,NULL,NULL,NULL,NULL,Disposed,733,{},NULL,NULL
7797,2255,17,28/11/18,NULL,NULL,NULL,NULL,-,734,{},NULL,NULL
8499,2420,3,13/02/23,NULL,NULL,NULL,NULL,-,1436,{},NULL,NULL
8500,2420,3,13/02/23,NULL,NULL,NULL,NULL,-,1437,{},NULL,NULL
8502,2420,7,10/11/17,NULL,NULL,NULL,NULL,AJ,1439,{},NULL,NULL
8503,2420,7,20/09/17,NULL,NULL,NULL,NULL,AJ,1440,{},NULL,NULL
8504,2420,7,09/08/17,NULL,NULL,NULL,NULL,AJ,1441,{},NULL,NULL
8505,2420,15,20/06/17,NULL,NULL,NULL,NULL,AJ,1442,{},NULL,NULL
8553,2438,17,15/03/19,NULL,NULL,NULL,NULL,Disposed,1490,{},NULL,NULL
8554,2438,7,26/09/17,NULL,NULL,NULL,NULL,-,1491,{},NULL,NULL
8555,2438,15,29/08/17,NULL,NULL,NULL,NULL,-,1492,{},NULL,NULL
9205,2586,12,06/03/17,NULL,NULL,NULL,NULL,Disposed,2142,{},NULL,NULL
9539,2670,2,22/01/24,NULL,NULL,NULL,NULL,-,2476,{},NULL,NULL
9540,2670,4,24/09/18,NULL,NULL,NULL,NULL,-,2477,{},NULL,NULL
10107,2808,15,27/06/17,NULL,NULL,NULL,NULL,-,3044,{},NULL,NULL
10185,2827,11,23/08/24,NULL,NULL,NULL,NULL,ADJ528144721634-3,3122,{},NULL,NULL
10186,2827,7,09/08/19,NULL,NULL,NULL,NULL,-,3123,{},NULL,NULL
10187,2827,7,21/06/19,NULL,NULL,NULL,NULL,-,3124,{},NULL,NULL
10189,2827,15,27/06/17,NULL,NULL,NULL,NULL,-,3126,{},NULL,NULL
10262,2846,12,06/06/18,NULL,NULL,NULL,NULL,Disposed,3199,{},NULL,NULL
10263,2846,7,08/12/17,NULL,NULL,NULL,NULL,-,3200,{},NULL,NULL
10846,3001,15,29/08/17,NULL,NULL,NULL,NULL,Direction Given-,3783,{},NULL,NULL
11040,3051,18,15/12/17,NULL,NULL,NULL,NULL,-,3977,{},NULL,NULL
11041,3051,7,13/11/17,NULL,NULL,NULL,NULL,-,3978,{},NULL,NULL
11042,3051,7,18/09/17,NULL,NULL,NULL,NULL,-,3979,{},NULL,NULL
11043,3051,15,29/08/17,NULL,NULL,NULL,NULL,-,3980,{},NULL,NULL
11125,3080,5,10/11/23,NULL,NULL,NULL,NULL,ADJ528144721634-3,4062,{},NULL,NULL
11126,3080,5,04/10/23,NULL,NULL,NULL,NULL,ADJ528144721634-3,4063,{},NULL,NULL
11127,3080,1,26/04/23,NULL,NULL,NULL,NULL,-,4064,{},NULL,NULL
11128,3080,1,06/03/23,NULL,NULL,NULL,NULL,ADJ528144721634-3,4065,{},NULL,NULL
11129,3080,7,09/02/23,NULL,NULL,NULL,NULL,-,4066,{},NULL,NULL
11130,3080,7,12/01/23,NULL,NULL,NULL,NULL,528144721634-3,4067,{},NULL,NULL
11131,3080,7,24/11/22,NULL,NULL,NULL,NULL,-,4068,{},NULL,NULL
11132,3080,7,13/10/22,NULL,NULL,NULL,NULL,-,4069,{},NULL,NULL
11134,3080,7,18/08/22,NULL,NULL,NULL,NULL,-,4071,{},NULL,NULL
11135,3080,7,26/06/19,NULL,NULL,NULL,NULL,-,4072,{},NULL,NULL
11136,3080,7,25/03/19,NULL,NULL,NULL,NULL,AJ,4073,{},NULL,NULL
11137,3080,7,24/01/19,NULL,NULL,NULL,NULL,AJ,4074,{},NULL,NULL
11138,3080,18,05/12/17,NULL,NULL,NULL,NULL,AJ,4075,{},NULL,NULL
11139,3080,15,14/11/17,NULL,NULL,NULL,NULL,AJ,4076,{},NULL,NULL
11238,3102,15,25/07/17,NULL,NULL,NULL,NULL,-,4175,{},NULL,NULL
11729,3209,7,20/10/22,NULL,NULL,NULL,NULL,-,4666,{},NULL,NULL
11730,3209,7,22/09/22,NULL,NULL,NULL,NULL,-,4667,{},NULL,NULL
11731,3209,7,25/08/22,NULL,NULL,NULL,NULL,-,4668,{},NULL,NULL
11751,3217,12,10/12/18,NULL,NULL,NULL,NULL,-,4688,{},NULL,NULL
11816,3240,7,02/08/19,NULL,NULL,NULL,NULL,-,4753,{},NULL,NULL
11817,3240,7,02/05/19,NULL,NULL,NULL,NULL,-,4754,{},NULL,NULL
11818,3240,7,28/02/19,NULL,NULL,NULL,NULL,-,4755,{},NULL,NULL
11819,3240,17,08/01/19,NULL,NULL,NULL,NULL,-,4756,{},NULL,NULL
11820,3240,17,21/12/18,NULL,NULL,NULL,NULL,-,4757,{},NULL,NULL
11844,3249,17,07/08/17,NULL,NULL,NULL,NULL,Disposed,4781,{},NULL,NULL
11845,3249,14,02/08/17,NULL,NULL,NULL,NULL,Disposed,4782,{},NULL,NULL
12343,3367,4,02/12/20,NULL,NULL,NULL,NULL,-,5280,{},NULL,NULL
12344,3367,4,04/11/20,NULL,NULL,NULL,NULL,-,5281,{},NULL,NULL
12346,3367,4,26/10/20,NULL,NULL,NULL,NULL,-,5283,{},NULL,NULL
12347,3367,4,19/10/20,NULL,NULL,NULL,NULL,-,5284,{},NULL,NULL
12348,3367,4,14/10/20,NULL,NULL,NULL,NULL,-,5285,{},NULL,NULL
12349,3367,4,12/10/20,NULL,NULL,NULL,NULL,-,5286,{},NULL,NULL
12350,3367,4,07/10/20,NULL,NULL,NULL,NULL,AJ,5287,{},NULL,NULL
12352,3367,9,12/03/20,NULL,NULL,NULL,NULL,AJ,5289,{},NULL,NULL
12353,3367,9,11/03/20,NULL,NULL,NULL,NULL,AJ,5290,{},NULL,NULL
12354,3367,12,02/11/18,NULL,NULL,NULL,NULL,AJ,5291,{},NULL,NULL
12355,3367,12,18/06/18,NULL,NULL,NULL,NULL,AJ,5292,{},NULL,NULL
12356,3367,12,13/06/18,NULL,NULL,NULL,NULL,AJ,5293,{},NULL,NULL
