pdf_id,pdf_original_website_link
543,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE5LyZmbmFtZT1DT01TNTA3MTcyMjEwMTkucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0yMi8xMC8yMDE5JnNwYXNzcGhyYXNlPTAzMDkyNDAyMDQyMiZuY2l0YXRpb249MjAxOTpCSEMtT1M6MTg5NDcmc21jaXRhdGlvbj0mZGlnY2VydGZsZz1OJmludGVyZmFjZT0=
544,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE5LyZmbmFtZT1DT01TNTA3MTcxNjEwMTkucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0xNi8xMC8yMDE5JnNwYXNzcGhyYXNlPTAzMDkyNDAyMDQyMiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
545,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE3LyZmbmFtZT1DT01TNTA3MTcyODExMTcucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0xNi8xMi8yMDE3JnNwYXNzcGhyYXNlPTAzMDkyNDAyMDQyMiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
733,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE4LyZmbmFtZT1DT01TMTQxNzI5MTExOC5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTMwLzExLzIwMTgmc3Bhc3NwaHJhc2U9MDMwOTI0MDAyNDU1Jm5jaXRhdGlvbj0yMDE4OkJIQy1PUzoxNzc1OSZzbWNpdGF0aW9uPSZkaWdjZXJ0ZmxnPU4maW50ZXJmYWNlPQ==
734,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE4LyZmbmFtZT1DT01TMTQxNzI4MTExOC5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTI4LzExLzIwMTgmc3Bhc3NwaHJhc2U9MDMwOTI0MDAyNDU1Jm5jaXRhdGlvbj0mc21jaXRhdGlvbj0mZGlnY2VydGZsZz1OJmludGVyZmFjZT0=
1436,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDIzLyZmbmFtZT0yNzU5MDAwMDU2MjIwMTdfNi5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTE1LzAyLzIwMjMmc3Bhc3NwaHJhc2U9MDMwOTI0MDI0NjMzJm5jaXRhdGlvbj0yMDIzOkJIQy1PUzoxMTY5JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
1437,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDIzLyZmbmFtZT0yNzU5MDAwMDU2MjIwMTdfNy5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTE1LzAyLzIwMjMmc3Bhc3NwaHJhc2U9MDMwOTI0MDI0NjMzJm5jaXRhdGlvbj0yMDIzOkJIQy1PUzoxMTcwJnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
1438,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE3LyZmbmFtZT1TOTgxNzIwMTIxNy5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTIyLzEyLzIwMTcmc3Bhc3NwaHJhc2U9MDMwOTI0MDI0NjMzJm5jaXRhdGlvbj0mc21jaXRhdGlvbj0mZGlnY2VydGZsZz1OJmludGVyZmFjZT0=
1439,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE3LyZmbmFtZT1TOTgxNzEwMTExNy5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTA4LzAxLzIwMTgmc3Bhc3NwaHJhc2U9MDMwOTI0MDI0NjMzJm5jaXRhdGlvbj0mc21jaXRhdGlvbj0mZGlnY2VydGZsZz1OJmludGVyZmFjZT0=
1440,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE3LyZmbmFtZT1TOTgxNzIwMDkxNy5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTA2LzExLzIwMTcmc3Bhc3NwaHJhc2U9MDMwOTI0MDI0NjMzJm5jaXRhdGlvbj0mc21jaXRhdGlvbj0mZGlnY2VydGZsZz1OJmludGVyZmFjZT0=
